-5	0.1	0.942896
-5	0.6	0.660897
-5	1.1	0.420368
-5	1.6	0.24557
-5	2.1	0.133862
-5	2.6	0.0692364
-5	3.1	0.0345058
-5	3.6	0.016785
-5	4.1	0.0080496
-5	4.6	0.00383407
-5	5.1	0.00182315
-5	5.6	0.000868466
-5	6.1	0.000415317
-5	6.6	0.000199626
-5	7.1	9.64917e-05
-5	7.6	4.69045e-05
-5	8.1	2.29228e-05
-5	8.6	1.12572e-05
-5	9.1	5.55161e-06
-5	9.6	2.74732e-06
-5	10.1	1.36317e-06
-5	10.6	6.77595e-07
-5	11.1	3.37125e-07
-5	11.6	1.67736e-07
-5	12.1	8.33841e-08
-5	12.6	4.13778e-08
-5	13.1	2.04776e-08
-5	13.6	1.00974e-08
-5	14.1	4.95626e-09
-5	14.6	2.41929e-09
-5	15.1	1.17322e-09
-5	15.6	5.64658e-10
-5	16.1	2.69429e-10
-5	16.6	1.27314e-10
-5	17.1	5.95078e-11
-5	17.6	2.74793e-11
-5	18.1	1.252e-11
-5	18.6	5.62035e-12
-5	19.1	2.48219e-12
-5	19.6	1.07675e-12
-5	20.1	4.57971e-13
-5	20.6	1.9062e-13
-5	21.1	7.74798e-14
-5	21.6	3.06816e-14
-5	22.1	1.1806e-14
-5	22.6	4.40146e-15
-5	23.1	1.58462e-15
-5	23.6	5.48861e-16
-5	24.1	1.82117e-16
-5	24.6	5.76028e-17
-5	25.1	1.72685e-17
-5	25.6	4.8737e-18
-5	26.1	1.28469e-18
-5	26.6	3.13279e-19
-5	27.1	6.98602e-20
-5	27.6	1.4045e-20
-5	28.1	2.50084e-21
-5	28.6	3.85578e-22
-5	29.1	4.99842e-23
-5	29.6	5.23864e-24
-5	30.1	4.20559e-25
-5	30.6	2.39389e-26
-5	31.1	8.60125e-28
-5	31.6	1.6182e-29
-5	32.1	1.14629e-31
-5	32.6	1.56441e-34
-5	33.1	7.22327e-39
-5	33.6	3.1512e-48
-5	34.1	1e-30
-5	34.6	1e-30
-5	35.1	1e-30
-5	35.6	1e-30
-5	36.1	1e-30
-5	36.6	1e-30
-5	37.1	1e-30
-5	37.6	1e-30
-5	38.1	1e-30
-5	38.6	1e-30
-5	39.1	1e-30
-5	39.6	1e-30
-5	40.1	1e-30
-4.5	0.1	0.964228
-4.5	0.6	0.757067
-4.5	1.1	0.540899
-4.5	1.6	0.355956
-4.5	2.1	0.219234
-4.5	2.6	0.128517
-4.5	3.1	0.0728271
-4.5	3.6	0.0404158
-4.5	4.1	0.0221896
-4.5	4.6	0.0121438
-4.5	5.1	0.00666009
-4.5	5.6	0.00367356
-4.5	6.1	0.00204256
-4.5	6.6	0.00114641
-4.5	7.1	0.00064996
-4.5	7.6	0.000372324
-4.5	8.1	0.000215484
-4.5	8.6	0.000125964
-4.5	9.1	7.43432e-05
-4.5	9.6	4.4278e-05
-4.5	10.1	2.65983e-05
-4.5	10.6	1.61065e-05
-4.5	11.1	9.82622e-06
-4.5	11.6	6.03634e-06
-4.5	12.1	3.7319e-06
-4.5	12.6	2.32077e-06
-4.5	13.1	1.45099e-06
-4.5	13.6	9.11636e-07
-4.5	14.1	5.75315e-07
-4.5	14.6	3.64528e-07
-4.5	15.1	2.31802e-07
-4.5	15.6	1.47875e-07
-4.5	16.1	9.46025e-08
-4.5	16.6	6.06711e-08
-4.5	17.1	3.89929e-08
-4.5	17.6	2.51055e-08
-4.5	18.1	1.61881e-08
-4.5	18.6	1.04504e-08
-4.5	19.1	6.75224e-09
-4.5	19.6	4.36537e-09
-4.5	20.1	2.82311e-09
-4.5	20.6	1.82579e-09
-4.5	21.1	1.18052e-09
-4.5	21.6	7.6292e-10
-4.5	22.1	4.92673e-10
-4.5	22.6	3.17833e-10
-4.5	23.1	2.04781e-10
-4.5	23.6	1.31741e-10
-4.5	24.1	8.46023e-11
-4.5	24.6	5.42204e-11
-4.5	25.1	3.46699e-11
-4.5	25.6	2.21125e-11
-4.5	26.1	1.4064e-11
-4.5	26.6	8.91756e-12
-4.5	27.1	5.63553e-12
-4.5	27.6	3.54858e-12
-4.5	28.1	2.22578e-12
-4.5	28.6	1.39025e-12
-4.5	29.1	8.64477e-13
-4.5	29.6	5.34973e-13
-4.5	30.1	3.29374e-13
-4.5	30.6	2.01687e-13
-4.5	31.1	1.22787e-13
-4.5	31.6	7.4293e-14
-4.5	32.1	4.46586e-14
-4.5	32.6	2.66593e-14
-4.5	33.1	1.57978e-14
-4.5	33.6	9.28874e-15
-4.5	34.1	5.4166e-15
