-5	0.1	0.00479606	2.74304e-11
-5	0.6	0.167634	2.90166e-11
-5	1.1	0.233345	2.93882e-11
-5	1.6	0.197264	2.95791e-11
-5	2.1	0.136902	2.95434e-11
-5	2.6	0.084575	2.92525e-11
-5	3.1	0.0482795	2.91333e-11
-5	3.6	0.0260903	2.95557e-11
-5	4.1	0.0135867	2.90546e-11
-5	4.6	0.00690975	2.8395e-11
-5	5.1	0.00346573	2.93303e-11
-5	5.6	0.00172651	2.89307e-11
-5	6.1	0.000858413	2.96321e-11
-5	6.6	0.000427351	2.87941e-11
-5	7.1	0.000213464	2.83876e-11
-5	7.6	0.000107112	2.84169e-11
-5	8.1	5.40235e-05	2.87244e-11
-5	8.6	2.73938e-05	2.83978e-11
-5	9.1	1.3964e-05	2.84348e-11
-5	9.6	7.15407e-06	2.84842e-11
-5	10.1	3.68238e-06	2.69192e-11
-5	10.6	1.90354e-06	2.80208e-11
-5	11.1	9.87812e-07	2.8979e-11
-5	11.6	5.14392e-07	2.38244e-11
-5	12.1	2.68701e-07	2.55218e-11
-5	12.6	1.40758e-07	2.82271e-11
-5	13.1	7.39293e-08	2.35495e-11
-5	13.6	3.89271e-08	2.83702e-11
-5	14.1	2.05489e-08	1.26107e-11
-5	14.6	1.08764e-08	2.94033e-11
-5	15.1	5.77432e-09	2.35853e-11
-5	15.6	3.07604e-09	2.75275e-11
-5	16.1	1.64553e-09	2.36469e-11
-5	16.6	8.84493e-10	2.82567e-11
-5	17.1	4.78404e-10	1.91034e-11
-5	17.6	2.59714e-10	2.78239e-11
-5	18.1	1.41623e-10	2.6401e-11
-5	18.6	7.64913e-11	2.64579e-11
-5	19.1	4.28922e-11	1.65978e-11
-5	19.6	2.16522e-11	2.25026e-11
-5	20.1	1.23118e-11	1.30804e-11
-5	20.6	7.02264e-12	7.66123e-12
-5	21.1	4.01544e-12	4.51589e-12
-5	21.6	2.28791e-12	2.69704e-12
-5	22.1	1.30023e-12	1.61493e-12
-5	22.6	7.38737e-13	9.61162e-13
-5	23.1	4.19114e-13	5.68467e-13
-5	23.6	2.37197e-13	3.34056e-13
-5	24.1	1.33802e-13	1.95032e-13
-5	24.6	7.5178e-14	1.13121e-13
-5	25.1	4.2047e-14	6.51771e-14
-5	25.6	2.33973e-14	3.73014e-14
-5	26.1	1.29471e-14	2.12018e-14
-5	26.6	7.12116e-15	1.19664e-14
-5	27.1	3.89132e-15	6.70496e-15
-5	27.6	2.50745e-15	6.18595e-15
-5	28.1	1.89268e-15	5.66629e-15
-5	28.6	1.56588e-15	4.73277e-15
-5	29.1	9.46901e-16	4.65273e-15
-5	29.6	5.58226e-16	4.65273e-15
-5	30.1	3.28205e-16	4.65273e-15
-5	30.6	1.92382e-16	4.65273e-15
-5	31.1	1.12386e-16	4.65273e-15
-5	31.6	6.54067e-17	4.65273e-15
-5	32.1	3.7907e-17	4.65273e-15
-5	32.6	2.18684e-17	4.65273e-15
-5	33.1	1.2552e-17	4.65273e-15
-5	33.6	7.16467e-18	4.65273e-15
-5	34.1	1e-30	1e-30
-5	34.6	1e-30	1e-30
-5	35.1	1e-30	1e-30
